prov_insc;anio_div;anio_mat;dur_mat;cau_div;edad_hom;niv_insth;edad_muj;niv_instm
Galápagos;2018;2011;6;El estado habitual de falta de armonía de las dos voluntades en la vida matrimonial;41;Educación media / Bachillerato;35; Educación media / Bachillerato
Guayas;2017;2006;11;Por mutuo consentimiento vía judicial;35;Secundaria;36; Secundaria
Guayas;2016;2009;7;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;49;Secundaria;35; Secundaria
Chimborazo;2016;2000;16;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;45;Secundaria;56; Secundaria
Azuay;2012;1980;31;Por mutuo consentimiento vía judicial;62;Primaria;56; Secundaria
Azuay;2018;1988;29;Por mutuo consentimiento vía judicial;59;Primaria;49; Primaria
Azuay;2018;1983;34;Sin Información;56;Primaria;51; Educación media / Bachillerato
Azuay;2018;1994;23;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;45;Superior Universitario;41; Secundaria
Azuay;2018;1987;30;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;51;Secundaria;51; Secundaria
Azuay;2018;1991;27;Por mutuo consentimiento vía notarial;51;Educación media / Bachillerato;50; Educación media / Bachillerato
Azuay;2018;1995;23;Por mutuo consentimiento vía notarial;49;Secundaria;43; Educación media / Bachillerato
Azuay;2017;2008;9;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;49;Primaria;30; Educación media / Bachillerato
Azuay;2018;1994;24;Por mutuo consentimiento vía notarial;47;Educación básica;44; Educación básica
Azuay;2017;2013;3;Por mutuo consentimiento vía judicial;31;Superior Universitario;31; Superior Universitario
Azuay;2018;2006;11;Por mutuo consentimiento vía judicial;36;Posgrado;36; Posgrado
Azuay;2016;1999;17;Por mutuo consentimiento vía judicial;42;Educación básica;45; Educación básica
Azuay;2017;2009;8;Por mutuo consentimiento vía judicial;31;Primaria;24; Secundaria
Azuay;2018;2008;10;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;33;Secundaria;32; Secundaria
Azuay;2018;2017;1;Por mutuo consentimiento vía judicial;29;Superior no Universitario;26; Superior Universitario
Azuay;2018;2003;14;Por mutuo consentimiento vía judicial;35;Educación básica;49; Educación media / Bachillerato
Azuay;2018;2002;15;Por mutuo consentimiento vía judicial;34;Secundaria;33; Secundaria
Azuay;2018;2013;5;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;31;Superior Universitario;29; Superior Universitario
Azuay;2018;2004;13;Por mutuo consentimiento vía judicial;32;Primaria;33; Educación básica
Azuay;2018;2016;1;Por mutuo consentimiento vía judicial;30;Superior no Universitario;27; Superior Universitario
Azuay;2018;2006;12;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;31;Primaria;28; Primaria
Azuay;2018;2010;8;Por mutuo consentimiento vía judicial;29;Secundaria;32; Educación media / Bachillerato
Azuay;2018;2009;8;Por mutuo consentimiento vía judicial;29;Secundaria;29; Superior no Universitario
Bolívar;2018;2016;1;Por mutuo consentimiento vía judicial;42;Superior no Universitario;34; Superior no Universitario
Bolívar;2017;2000;17;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;41;Educación media / Bachillerato;52; Educación media / Bachillerato
Chimborazo;2018;1992;26;Por mutuo consentimiento vía judicial;56;Secundaria;44; Secundaria
Azuay;2003;1993;10;Por mutuo consentimiento vía judicial;55;Secundaria;63; Superior no Universitario
Cañar;2018;1986;31;Por mutuo consentimiento vía notarial;52;Primaria;47; Primaria
Cañar;2018;1993;24;Por mutuo consentimiento vía judicial;50;Educación media / Bachillerato;48; Educación media / Bachillerato
Guayas;2018;2001;17;Por mutuo consentimiento vía judicial;45;Secundaria;42; Secundaria
Cañar;2017;1993;24;Por mutuo consentimiento vía judicial;41;Primaria;44; Primaria
Cañar;2018;1995;23;Por mutuo consentimiento vía notarial;40;Educación media / Bachillerato;39; Primaria
Cañar;2018;2011;6;Por mutuo consentimiento vía notarial;36;Superior Universitario;24; Superior Universitario
Cañar;2018;2008;9;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;27;Educación media / Bachillerato;31; Educación media / Bachillerato
Cañar;2018;2016;1;Por mutuo consentimiento vía judicial;24;Secundaria;22; Educación media / Bachillerato
Carchi;2018;2016;1;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;40;Superior Universitario;36; Superior Universitario
Pichincha;2018;2003;14;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;40;Educación media / Bachillerato;34; Educación media / Bachillerato
Azuay;2016;2002;13;Por mutuo consentimiento vía judicial;77;Educación media / Bachillerato;66; Educación media / Bachillerato
Cotopaxi;2018;1976;42;Por mutuo consentimiento vía judicial;65;Secundaria;74; Secundaria
El Oro;2018;2012;5;Por mutuo consentimiento vía judicial;29;Superior Universitario;25; Secundaria
Cotopaxi;2018;2011;7;Por mutuo consentimiento vía judicial;29;Primaria;27; Educación media / Bachillerato
Pichincha;2018;1996;22;Por mutuo consentimiento vía judicial;53;Educación media / Bachillerato;49; Educación media / Bachillerato
Cotopaxi;2018;2015;2;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;39;Superior Universitario;37; Superior Universitario
Cotopaxi;2018;1998;19;El estado habitual de falta de armonía de las dos voluntades en la vida matrimonial;42;Educación básica;45; Primaria
Pichincha;2017;1997;20;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;42;Educación media / Bachillerato;48; Educación media / Bachillerato
Chimborazo;2018;2011;7;Por mutuo consentimiento vía judicial;29;Superior Universitario;26; Superior Universitario
Chimborazo;2018;2016;2;Por mutuo consentimiento vía notarial;31;Secundaria;27; Superior Universitario
Chimborazo;2018;2015;3;El estado habitual de falta de armonía de las dos voluntades en la vida matrimonial;29;Primaria;22; Educación básica
El Oro;2018;1969;49;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;69;Primaria;68; Primaria
El Oro;2018;1985;32;Por mutuo consentimiento vía notarial;51;Secundaria;50; Secundaria
El Oro;2017;2013;4;Por mutuo consentimiento vía judicial;49;Secundaria;21; Educación básica
El Oro;2018;1995;23;Por mutuo consentimiento vía notarial;51;Secundaria;38; Primaria
El Oro;2018;2004;14;Por mutuo consentimiento vía judicial;45;Secundaria;38; Superior Universitario
Pichincha;2018;2011;6;Por mutuo consentimiento vía notarial;36;Educación media / Bachillerato;53; Primaria
El Oro;2018;2004;14;Por mutuo consentimiento vía judicial;39;Superior Universitario;35; Superior Universitario
El Oro;2018;2002;15;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;35;Secundaria;35; Secundaria
Cañar;2018;2014;4;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;35;Educación media / Bachillerato;28; Educación media / Bachillerato
El Oro;2018;2017;1;Por mutuo consentimiento vía notarial;25;Superior Universitario;23; Secundaria
El Oro;2018;2007;10;Por mutuo consentimiento vía judicial;35;Primaria;31; Secundaria
El Oro;2018;2008;9;Por mutuo consentimiento vía judicial;32;Secundaria;30; Secundaria
Sucumbíos;2018;2014;4;Por mutuo consentimiento vía judicial;32;Educación media / Bachillerato;27; Educación media / Bachillerato
El Oro;2018;2014;3;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;23;Primaria;22; Educación básica
El Oro;2018;2015;3;Por mutuo consentimiento vía notarial;29;Primaria;24; Secundaria
Esmeraldas;2018;2001;17;El adulterio de uno de los cónyuges;64;Educación básica;54; Superior Universitario
Manabí;2018;2000;17;Por mutuo consentimiento vía judicial;37;Educación media / Bachillerato;38; Primaria
Manabí;2018;2000;17;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;72;Secundaria;59; Superior no Universitario
Cañar;2018;1976;42;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;70;Educación media / Bachillerato;61; Primaria
Guayas;2013;1963;50;Por mutuo consentimiento vía judicial;74;Secundaria;69; Secundaria
Guayas;2018;1981;36;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;62;Secundaria;63; Secundaria
Guayas;2018;2016;1;Por mutuo consentimiento vía notarial;59;Secundaria;56; Secundaria
Pichincha;2017;2002;15;Por mutuo consentimiento vía judicial;56;Educación media / Bachillerato;46; Superior no Universitario
Guayas;2018;1996;22;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;54;Secundaria;45; Secundaria
Imbabura;2018;1993;24;El estado habitual de falta de armonía de las dos voluntades en la vida matrimonial;51;Primaria;50; Primaria
Guayas;2018;1986;32;Por mutuo consentimiento vía notarial;52;Secundaria;53; Secundaria
Guayas;2018;1992;25;Por mutuo consentimiento vía notarial;53;Secundaria;49; Educación media / Bachillerato
Guayas;2017;1993;24;Por mutuo consentimiento vía notarial;47;Secundaria;44; Secundaria
Guayas;2017;1994;23;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;46;Secundaria;44; Secundaria
Orellana;2018;2001;17;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;50;Secundaria;47; Secundaria
Chimborazo;2018;1992;25;Por mutuo consentimiento vía judicial;47;Educación básica;40; Educación básica
Guayas;2018;2002;15;Por mutuo consentimiento vía judicial;47;Secundaria;37; Secundaria
Azuay;2018;2009;9;El estado habitual de falta de armonía de las dos voluntades en la vida matrimonial;31;Primaria;30; Educación básica
Guayas;2017;2000;16;Por mutuo consentimiento vía judicial;40;Secundaria;41; Secundaria
Guayas;2018;2004;14;Por mutuo consentimiento vía judicial;48;Secundaria;37; Secundaria
Guayas;2018;2000;18;Por mutuo consentimiento vía judicial;49;Secundaria;46; Educación básica
Guayas;2018;1995;23;Por mutuo consentimiento vía judicial;46;Secundaria;46; Secundaria
Guayas;2018;1991;27;Por mutuo consentimiento vía notarial;50;Secundaria;50; Secundaria
Guayas;2018;1992;26;Por mutuo consentimiento vía notarial;46;Secundaria;47; Secundaria
Guayas;2018;2000;17;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;47;Secundaria;48; Secundaria
Guayas;2018;1999;18;Por mutuo consentimiento vía judicial;45;Secundaria;38; Secundaria
Guayas;2017;1999;17;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;42;Secundaria;43; Secundaria
Guayas;2018;1994;23;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;46;Secundaria;43; Educación media / Bachillerato
Guayas;2018;2008;10;Por mutuo consentimiento vía judicial;44;Secundaria;41; Secundaria
Guayas;2018;2013;4;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;45;Secundaria;37; Secundaria
Guayas;2016;2014;2;Por mutuo consentimiento vía judicial;40;Superior Universitario;32; Superior Universitario
Guayas;2018;2010;7;Por mutuo consentimiento vía judicial;34;Superior Universitario;34; Secundaria
Guayas;2018;2003;14;Por mutuo consentimiento vía judicial;40;Secundaria;34; Secundaria
Guayas;2018;2001;16;Por mutuo consentimiento vía judicial;39;Secundaria;35; Secundaria
Guayas;2018;2002;16;Por mutuo consentimiento vía judicial;37;Secundaria;35; Secundaria
Guayas;2018;2010;8;Por mutuo consentimiento vía judicial;37;Superior Universitario;37; Superior Universitario
Guayas;2018;2006;11;Por mutuo consentimiento vía notarial;39;Secundaria;29; Educación media / Bachillerato
Guayas;2018;2008;9;Por mutuo consentimiento vía judicial;38;Secundaria;31; Secundaria
Guayas;2018;2003;14;Por mutuo consentimiento vía judicial;35;Secundaria;34; Secundaria
Guayas;2018;2007;11;Por mutuo consentimiento vía notarial;35;Educación media / Bachillerato;29; Secundaria
Guayas;2018;2014;3;Por mutuo consentimiento vía notarial;35;Educación media / Bachillerato;31; Superior Universitario
Guayas;2018;2011;7;Por mutuo consentimiento vía judicial;28;Superior Universitario;29; Educación media / Bachillerato
Guayas;2018;2011;7;Por mutuo consentimiento vía judicial;32;Secundaria;31; Secundaria
Guayas;2018;2008;10;Por mutuo consentimiento vía judicial;33;Secundaria;30; Secundaria
Guayas;2018;2010;8;Por mutuo consentimiento vía judicial;32;Educación media / Bachillerato;28; Educación media / Bachillerato
Guayas;2018;2015;3;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;31;Secundaria;23; Secundaria
Guayas;2017;2013;4;Por mutuo consentimiento vía judicial;28;Secundaria;26; Secundaria
Guayas;2018;2010;8;Por mutuo consentimiento vía judicial;29;Educación media / Bachillerato;30; Secundaria
Guayas;2018;2013;4;Por mutuo consentimiento vía judicial;29;Educación media / Bachillerato;28; Superior Universitario
Guayas;2018;2015;2;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;28;Secundaria;23; Secundaria
Guayas;2018;2017;0;Por mutuo consentimiento vía notarial;28;Educación media / Bachillerato;21; Educación media / Bachillerato
Imbabura;2017;1991;26;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;61;Primaria;51; Primaria
Imbabura;2016;1994;21;Por mutuo consentimiento vía judicial;54;Educación media / Bachillerato;52; Secundaria
Imbabura;2018;1984;33;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;52;Primaria;48; Primaria
Imbabura;2018;2010;7;Por mutuo consentimiento vía judicial;43;Primaria;38; Primaria
Imbabura;2018;2001;16;Por mutuo consentimiento vía notarial;37;Primaria;38; Primaria
Pichincha;2017;2002;15;Por mutuo consentimiento vía judicial;39;Secundaria;37; Educación media / Bachillerato
Imbabura;2018;2014;3;Por mutuo consentimiento vía notarial;33;Primaria;39; Primaria
Imbabura;2018;2007;10;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;32;Primaria;29; Primaria
Pichincha;2018;1983;35;Por mutuo consentimiento vía notarial;57;Educación media / Bachillerato;53; Educación media / Bachillerato
Loja;2018;2002;16;Por mutuo consentimiento vía notarial;51;Primaria;47; Secundaria
Manabí;2018;1988;29;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;52;Educación media / Bachillerato;45; Superior no Universitario
El Oro;2017;2005;12;Por mutuo consentimiento vía judicial;51;Primaria;51; Secundaria
Loja;2018;1999;18;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;52;Primaria;32; Primaria
Loja;2016;1995;21;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;48;Secundaria;44; Secundaria
Loja;2018;2008;9;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;47;Superior Universitario;32; Superior no Universitario
Azuay;2017;2002;15;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;43;Secundaria;35; Secundaria
Pichincha;2018;2009;8;Por mutuo consentimiento vía judicial;36;Superior Universitario;35; Superior Universitario
Loja;2018;1999;18;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;42;Primaria;47; Primaria
Loja;2018;1992;25;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;72;Primaria;51; Superior Universitario
Loja;2018;1999;19;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;40;Primaria;41; Primaria
Guayas;2017;1988;29;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;66;Secundaria;54; Secundaria
Chimborazo;2018;1985;32;Por mutuo consentimiento vía notarial;55;Secundaria;53; Secundaria
Los Ríos;2018;2004;13;Por mutuo consentimiento vía judicial;49;Superior Universitario;30; Secundaria
Guayas;2018;2000;18;Por mutuo consentimiento vía notarial;50;Secundaria;47; Secundaria
Azuay;2018;2015;3;Por mutuo consentimiento vía judicial;33;Educación media / Bachillerato;26; Educación media / Bachillerato
Los Ríos;2018;2017;0;Por mutuo consentimiento vía notarial;29;Educación media / Bachillerato;32; Superior Universitario
Manabí;2018;1977;41;Por mutuo consentimiento vía notarial;64;Educación media / Bachillerato;60; Educación básica
Manabí;2018;1978;39;Por mutuo consentimiento vía notarial;62;Superior Universitario;62; Educación media / Bachillerato
Azuay;2018;1989;28;Por mutuo consentimiento vía notarial;58;Superior Universitario;63; Superior Universitario
Manabí;2017;1985;32;Por mutuo consentimiento vía judicial;55;Educación media / Bachillerato;55; Educación media / Bachillerato
Manabí;2017;1987;30;Por mutuo consentimiento vía judicial;55;Educación básica;50; Educación básica
Pichincha;2018;2013;4;Por mutuo consentimiento vía judicial;56;Superior Universitario;38; Superior Universitario
Manabí;2018;1988;30;Por mutuo consentimiento vía judicial;55;Educación media / Bachillerato;48; Educación básica
Manabí;2018;2000;18;Por mutuo consentimiento vía notarial;52;Educación media / Bachillerato;44; Educación media / Bachillerato
Manabí;2017;1993;24;Por mutuo consentimiento vía judicial;45;Superior Universitario;44; Secundaria
Manabí;2018;1987;31;Por mutuo consentimiento vía notarial;51;Educación media / Bachillerato;46; Educación media / Bachillerato
Manabí;2017;1997;20;Por mutuo consentimiento vía judicial;50;Primaria;48; Superior Universitario
Manabí;2018;1988;29;Por mutuo consentimiento vía notarial;51;Educación media / Bachillerato;49; Primaria
Pichincha;2018;2007;10;Por mutuo consentimiento vía notarial;39;Superior Universitario;39; Superior no Universitario
Guayas;2018;2007;11;Por mutuo consentimiento vía judicial;41;Secundaria;34; Educación básica
Manabí;2018;1997;21;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;44;Educación media / Bachillerato;40; Educación media / Bachillerato
Manabí;2018;1998;19;Por mutuo consentimiento vía judicial;45;Educación media / Bachillerato;33; Educación media / Bachillerato
Manabí;2018;2008;9;Por mutuo consentimiento vía judicial;42;Educación media / Bachillerato;39; Educación media / Bachillerato
Esmeraldas;2018;2008;10;El adulterio de uno de los cónyuges;29;Educación media / Bachillerato;29; Educación media / Bachillerato
Manabí;2017;2013;3;Por mutuo consentimiento vía judicial;23;Educación media / Bachillerato;22; Educación básica
Sucumbíos;2018;1998;19;Por mutuo consentimiento vía judicial;43;Superior Universitario;51; Educación media / Bachillerato
Bolívar;2018;2005;13;Por mutuo consentimiento vía judicial;39;Educación media / Bachillerato;34; Educación media / Bachillerato
Tungurahua;2018;1998;20;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;39;Primaria;35; Primaria
Pastaza;2018;2013;5;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;24;Educación media / Bachillerato;25; Educación media / Bachillerato
Los Ríos;2018;1968;50;Por mutuo consentimiento vía notarial;72;Secundaria;69; Secundaria
Pichincha;2018;2007;10;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;70;Educación media / Bachillerato;66; Educación media / Bachillerato
Chimborazo;2018;1980;37;Por mutuo consentimiento vía notarial;65;Secundaria;56; Secundaria
Pichincha;2018;1990;27;Por mutuo consentimiento vía notarial;61;Superior no Universitario;51; Educación media / Bachillerato
Chimborazo;2018;2006;11;Por mutuo consentimiento vía judicial;57;Secundaria;51; Secundaria
Pichincha;2018;1995;23;Por mutuo consentimiento vía notarial;53;Superior no Universitario;49; Educación media / Bachillerato
Manabí;2018;1994;24;Por mutuo consentimiento vía notarial;55;Educación básica;55; Educación básica
Santo Domingo de los Tsáchilas;2018;2010;8;Por mutuo consentimiento vía notarial;48;Educación media / Bachillerato;43; Educación media / Bachillerato
Pichincha;2018;1988;29;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;58;Educación media / Bachillerato;51; Educación media / Bachillerato
Pichincha;2018;1991;26;Por mutuo consentimiento vía notarial;55;Superior Universitario;50; Superior Universitario
Pichincha;2018;2001;16;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;51;Superior Universitario;42; Superior Universitario
Pichincha;2018;1989;28;Por mutuo consentimiento vía notarial;54;Superior Universitario;54; Educación media / Bachillerato
Santo Domingo de los Tsáchilas;2017;1987;29;Por mutuo consentimiento vía judicial;56;Secundaria;48; Secundaria
Pichincha;2018;1991;27;Por mutuo consentimiento vía notarial;57;Educación media / Bachillerato;57; Educación media / Bachillerato
Pichincha;2018;2006;11;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;55;Educación básica;54; Educación media / Bachillerato
Cañar;2002;1985;16;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;56;Primaria;52; Primaria
Pichincha;2018;1992;25;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;52;Secundaria;47; Superior Universitario
Pichincha;2018;2018;0;Por mutuo consentimiento vía notarial;55;Superior Universitario;41; Educación media / Bachillerato
Pichincha;2018;1997;20;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;44;Educación media / Bachillerato;43; Educación media / Bachillerato
Pichincha;2018;1998;20;Por mutuo consentimiento vía notarial;50;Educación media / Bachillerato;56; Educación media / Bachillerato
Pichincha;2018;1991;27;Por mutuo consentimiento vía notarial;54;Educación media / Bachillerato;52; Educación media / Bachillerato
Pichincha;2018;2008;9;Por mutuo consentimiento vía notarial;46;Educación media / Bachillerato;45; Superior no Universitario
Pichincha;2017;2010;7;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;43;Superior no Universitario;32; Superior Universitario
Pichincha;2018;2008;9;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;44;Educación básica;34; Educación básica
Pichincha;2017;2005;11;Por mutuo consentimiento vía judicial;39;Educación media / Bachillerato;35; Educación media / Bachillerato
Napo;2018;1995;22;Por mutuo consentimiento vía judicial;50;Primaria;46; Primaria
Pichincha;2018;2004;14;Por mutuo consentimiento vía judicial;43;Educación media / Bachillerato;47; Superior Universitario
Manabí;2018;2009;9;Por mutuo consentimiento vía notarial;45;Secundaria;44; Secundaria
Pichincha;2018;1995;22;Por mutuo consentimiento vía notarial;44;Educación básica;41; Primaria
Pichincha;2018;2009;8;Por mutuo consentimiento vía judicial;42;Superior no Universitario;39; Superior no Universitario
Pichincha;2018;2014;4;Por mutuo consentimiento vía judicial;36;Educación media / Bachillerato;32; Educación media / Bachillerato
Pichincha;2018;2008;9;Por mutuo consentimiento vía judicial;36;Educación media / Bachillerato;36; Educación media / Bachillerato
Carchi;2017;1998;19;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;44;Educación media / Bachillerato;39; Educación media / Bachillerato
Pichincha;2018;2008;9;Por mutuo consentimiento vía judicial;37;Superior no Universitario;37; Superior no Universitario
Pichincha;2018;1996;21;Por mutuo consentimiento vía judicial;40;Educación básica;38; Educación básica
Pichincha;2018;2003;14;Por mutuo consentimiento vía judicial;35;Educación básica;35; Educación media / Bachillerato
Santo Domingo de los Tsáchilas;2018;2000;17;Por mutuo consentimiento vía judicial;43;Educación básica;39; Educación básica
Pichincha;2018;2003;15;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;35;Educación media / Bachillerato;36; Educación media / Bachillerato
Pichincha;2018;2007;10;Por mutuo consentimiento vía judicial;36;Educación media / Bachillerato;29; Educación básica
Pichincha;2018;2004;13;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;39;Educación media / Bachillerato;37; Superior Universitario
Pichincha;2018;1998;20;Por mutuo consentimiento vía judicial;36;Educación media / Bachillerato;35; Educación media / Bachillerato
Pichincha;2017;1999;17;Por mutuo consentimiento vía judicial;37;Primaria;37; Secundaria
Pichincha;2018;2011;6;Por mutuo consentimiento vía notarial;34;Educación media / Bachillerato;36; Educación media / Bachillerato
Pichincha;2016;2005;10;Por mutuo consentimiento vía judicial;39;Educación media / Bachillerato;29; Educación media / Bachillerato
Azuay;2017;2002;14;Por mutuo consentimiento vía judicial;39;Secundaria;37; Secundaria
Pichincha;2018;2012;6;Por mutuo consentimiento vía judicial;34;Educación básica;35; Secundaria
Pichincha;2018;2009;9;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;38;Educación media / Bachillerato;30; Educación media / Bachillerato
Pichincha;2017;2016;1;Por mutuo consentimiento vía judicial;37;Educación media / Bachillerato;34; Superior no Universitario
Pichincha;2018;2004;13;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;37;Superior Universitario;34; Superior Universitario
Pichincha;2018;2010;7;Por mutuo consentimiento vía notarial;31;Educación media / Bachillerato;33; Educación media / Bachillerato
Pichincha;2018;2013;5;Por mutuo consentimiento vía notarial;38;Superior no Universitario;30; Superior no Universitario
Pichincha;2018;2007;11;Por mutuo consentimiento vía judicial;38;Educación media / Bachillerato;32; Superior Universitario
Pichincha;2018;2012;5;Por mutuo consentimiento vía notarial;36;Superior Universitario;43; Educación media / Bachillerato
Pichincha;2017;2016;1;Por mutuo consentimiento vía notarial;36;Superior Universitario;28; Superior Universitario
Pichincha;2018;2003;15;Por mutuo consentimiento vía judicial;35;Superior no Universitario;35; Superior no Universitario
Pichincha;2016;2006;9;Por mutuo consentimiento vía judicial;30;Educación media / Bachillerato;30; Educación media / Bachillerato
Pichincha;2018;2015;2;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;31;Superior Universitario;31; Superior Universitario
Pichincha;2018;2007;10;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;35;Educación básica;29; Educación básica
Pichincha;2017;2005;11;Por mutuo consentimiento vía judicial;31;Educación media / Bachillerato;27; Educación media / Bachillerato
Pichincha;2018;2007;11;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;30;Educación media / Bachillerato;41; Educación media / Bachillerato
Tungurahua;2018;2015;3;Por mutuo consentimiento vía judicial;25;Educación media / Bachillerato;27; Secundaria
Pichincha;2018;2005;12;Por mutuo consentimiento vía judicial;42;Superior no Universitario;37; Superior no Universitario
Pichincha;2018;2011;6;Por mutuo consentimiento vía notarial;27;Superior Universitario;28; Educación media / Bachillerato
Pichincha;2018;2009;8;Por mutuo consentimiento vía judicial;30;Educación media / Bachillerato;28; Educación media / Bachillerato
Pichincha;2018;2014;4;Por mutuo consentimiento vía notarial;29;Superior no Universitario;29; Superior no Universitario
Tungurahua;2018;1985;33;Por mutuo consentimiento vía judicial;58;Educación media / Bachillerato;56; Educación media / Bachillerato
Tungurahua;2018;1993;25;Por mutuo consentimiento vía judicial;50;Superior Universitario;44; Superior Universitario
Tungurahua;2018;1997;20;Por mutuo consentimiento vía notarial;47;Educación media / Bachillerato;40; Educación media / Bachillerato
Tungurahua;2018;1998;19;Por mutuo consentimiento vía judicial;40;Primaria;36; Secundaria
Pichincha;2018;2013;5;Por mutuo consentimiento vía judicial;35;Educación media / Bachillerato;32; Educación media / Bachillerato
Tungurahua;2017;2015;2;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;24;Secundaria;26; Secundaria
Guayas;2018;1992;25;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;45;Educación media / Bachillerato;49; Secundaria
Sucumbíos;2018;2017;1;Por mutuo consentimiento vía judicial;30;Educación media / Bachillerato;29; Educación media / Bachillerato
Orellana;2017;2000;17;Por mutuo consentimiento vía judicial;40;Educación media / Bachillerato;41; Educación media / Bachillerato
Pichincha;2018;2011;6;Por mutuo consentimiento vía judicial;31;Educación media / Bachillerato;31; Educación media / Bachillerato
Sucumbíos;2018;2013;4;Por mutuo consentimiento vía judicial;29;Educación media / Bachillerato;28; Educación media / Bachillerato
Azuay;2018;1985;33;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;54;Educación básica;48; Educación básica
Azuay;2018;1994;24;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;45;Educación básica;46; Primaria
Cañar;2018;2010;7;Por mutuo consentimiento vía notarial;50;Primaria;42; Primaria
